tv_series,tv_seriesLabel,start_date,end_date,award,awardLabel,award_year,award_type
http://www.wikidata.org/entity/Q7738202,"""В гримерке с Полом Провенза""",,2011-09-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4027892,+100500,,,,,,
http://www.wikidata.org/entity/Q131523401,10 дней до весны,,,,,,
http://www.wikidata.org/entity/Q169074,10 причин моей ненависти,,2010-05-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q55012258,10 часов после полуночи,,,,,,
http://www.wikidata.org/entity/Q2806599,10-07: Дело Зевса,,1995-11-23T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4546130,100 Grand,,1963-09-29T00:00:00Z,,,,
http://www.wikidata.org/entity/Q251552,100 величайших румын,,,,,,
http://www.wikidata.org/entity/Q2806676,100 вопросов,,2010-07-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q165168,100 лет – Обратный отсчёт,,1999-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1090828,100 подвигов Эдди Макдауда,,2002-04-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q109264517,100 тысяч минут вместе,,,,,,
http://www.wikidata.org/entity/Q18673004,100 шагов: Успеть до старших классов,,2016-02-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q27261,1000 способов умереть,,2012-07-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q21528692,11.22.63,,2016-04-04T00:00:00Z,,,,
http://www.wikidata.org/entity/Q134719215,12 12 12,,,,,,
http://www.wikidata.org/entity/Q18421127,12 обезьян,,2018-07-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q130292852,13 Клиническая,,,,,,
http://www.wikidata.org/entity/Q18464203,13 причин почему,,2020-06-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q123315231,1670,,,,,,
http://www.wikidata.org/entity/Q114271180,1703 (сериал),,,,,,
http://www.wikidata.org/entity/Q3702743,1790 год,,2011-12-26T00:00:00Z,,,,
http://www.wikidata.org/entity/Q204536,18 для жизни,,2011-03-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q12299868,1864,,,,,,
http://www.wikidata.org/entity/Q110124251,1883,,2022-02-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q98446867,1899,,2022-11-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q112862420,1923,,,,,,
http://www.wikidata.org/entity/Q4029544,1941,,,,,,
http://www.wikidata.org/entity/Q56328126,1983,,,,,,
http://www.wikidata.org/entity/Q135128,1990,,1978-04-10T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1248238,227,,1990-05-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q16001005,24 часа,,2013-12-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q56194,24 часа,,2010-05-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2599871,24 часа: Конспирация,,,,,,
http://www.wikidata.org/entity/Q22946170,24 часа: Наследие,,2017-04-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15483532,24 часа: Проживи ещё один день,,2014-07-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q88414000,"257 причин, чтобы жить",,2021-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q551602,3 фунта,,2006-11-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q22906081,3%,,2020-08-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q122703098,32 зуба,,2013-07-07T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4030941,33 квадратных метра,,2004-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2489335,38 обезьян,,2005-02-08T00:00:00Z,,,,
http://www.wikidata.org/entity/Q29960569,4 квартала,,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q1713744,премия «Юпитер»,2018-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q29960569,4 квартала,,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q47509327,Deutscher Fernsehpreis 2018,,
http://www.wikidata.org/entity/Q29960569,4 квартала,,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q33109356,Goldene Kamera 2018,,
http://www.wikidata.org/entity/Q29960569,4 квартала,,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q1205229,Немецкая режиссёрская премия «Метрополис»,2017-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q29960569,4 квартала,,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q1204998,German Cinematographer Award,2018-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q234386,4400,,2007-09-16T00:00:00Z,,,,
http://www.wikidata.org/entity/Q107176559,4400,,2022-02-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q110583537,45 правил развода,,2022-01-20T00:00:00Z,,,,
http://www.wikidata.org/entity/Q488652,49 дней,,2011-05-19T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5935,4исла,,2010-03-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q624364,5-я республика,,2005-09-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q90988349,50 штатов страха,,2020-10-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2817130,500 наций,,1995-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q122816465,5:32,,,,,,
http://www.wikidata.org/entity/Q2056587,"6 фильмов, которые не дадут вам уснуть",,1982-09-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q247869,60 минут,,,,,,
http://www.wikidata.org/entity/Q67200575,68 Виски,,2020-03-18T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1123084,7 поколений рок-н-ролла,,,,,,
http://www.wikidata.org/entity/Q1111300,8 простых правил для друга моей дочери-подростка,,2005-08-19T00:00:00Z,http://www.wikidata.org/entity/Q135498,Генезис,,
http://www.wikidata.org/entity/Q4032517,80 дней вокруг света (мультсериал),,1973-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q109062197,9 месяцев,,2017-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q30611820,9-1-1,,,,,,
http://www.wikidata.org/entity/Q132673387,9-1-1: Нэшвилл,,,,,,
http://www.wikidata.org/entity/Q75053165,9-1-1: Одинокая звезда,,2025-02-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q62108694,90-е. Весело и громко,,,,,,
http://www.wikidata.org/entity/Q64210970,90210,,2019-09-11T00:00:00Z,,,,
http://www.wikidata.org/entity/Q276071,90210: Новое поколение,,2013-05-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q30126643,"9J, 9K и 9L",,2018-02-02T00:00:00Z,,,,
http://www.wikidata.org/entity/Q108765687,ABBA: Документальный фильм,,,,,,
http://www.wikidata.org/entity/Q107738509,ABC 7 Chicago,,,,,,
http://www.wikidata.org/entity/Q107490608,AEW Rampage,2021-08-13T00:00:00Z,,,,,
