tv_series,tv_seriesLabel,start_time,end_time,award,awardLabel,award_year,award_type
http://www.wikidata.org/entity/Q7738202,"""В гримерке с Полом Провенза""",2010-06-10T00:00:00Z,2011-09-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4027892,+100500,2010-08-29T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q131523401,10 дней до весны,,,,,,
http://www.wikidata.org/entity/Q169074,10 причин моей ненависти,2009-07-07T00:00:00Z,2010-05-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q55012258,10 часов после полуночи,2022-10-25T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q2806599,10-07: Дело Зевса,1995-11-02T00:00:00Z,1995-11-23T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4546130,100 Grand,1963-09-15T00:00:00Z,1963-09-29T00:00:00Z,,,,
http://www.wikidata.org/entity/Q251552,100 величайших румын,,,,,,
http://www.wikidata.org/entity/Q2806676,100 вопросов,2010-05-27T00:00:00Z,2010-07-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q165168,100 лет – Обратный отсчёт,1999-09-13T00:00:00Z,1999-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1090828,100 подвигов Эдди Макдауда,1999-10-16T00:00:00Z,2002-04-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q109264517,100 тысяч минут вместе,,,,,,
http://www.wikidata.org/entity/Q18673004,100 шагов: Успеть до старших классов,2014-11-11T00:00:00Z,2016-02-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q27261,1000 способов умереть,2008-05-14T00:00:00Z,2012-07-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q21528692,11.22.63,2016-02-15T00:00:00Z,2016-04-04T00:00:00Z,,,,
http://www.wikidata.org/entity/Q134719215,12 12 12,,,,,,
http://www.wikidata.org/entity/Q18421127,12 обезьян,2015-01-16T00:00:00Z,2018-07-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q130292852,13 Клиническая,,,,,,
http://www.wikidata.org/entity/Q18464203,13 причин почему,2017-03-31T00:00:00Z,2020-06-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q123315231,1670,2023-12-13T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q114271180,1703 (сериал),2022-09-29T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q3702743,1790 год,2011-10-24T00:00:00Z,2011-12-26T00:00:00Z,,,,
http://www.wikidata.org/entity/Q204536,18 для жизни,2010-01-04T00:00:00Z,2011-03-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q12299868,1864,2014-10-12T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q110124251,1883,2021-12-19T00:00:00Z,2022-02-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q98446867,1899,2022-11-17T00:00:00Z,2022-11-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q112862420,1923,2022-12-18T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q4029544,1941,2009-05-04T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q56328126,1983,2018-11-30T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q135128,1990,1977-09-18T00:00:00Z,1978-04-10T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1248238,227,1985-09-14T00:00:00Z,1990-05-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q56194,24 часа,2001-11-06T00:00:00Z,2010-05-24T00:00:00Z,http://www.wikidata.org/entity/Q8038466,Премия Гильдии сценаристов США за лучший сценарий в драматическом телесериале,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q16001005,24 часа,2013-10-04T00:00:00Z,2013-12-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2599871,24 часа: Конспирация,2005-01-30T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q22946170,24 часа: Наследие,2017-02-05T00:00:00Z,2017-04-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15483532,24 часа: Проживи ещё один день,2014-05-05T00:00:00Z,2014-07-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q88414000,"257 причин, чтобы жить",2020-01-01T00:00:00Z,2021-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q551602,3 фунта,2006-11-14T00:00:00Z,2006-11-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q22906081,3%,2016-11-25T00:00:00Z,2020-08-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q122703098,32 зуба,2006-09-05T00:00:00Z,2013-07-07T00:00:00Z,,,,
http://www.wikidata.org/entity/Q4030941,33 квадратных метра,1996-01-01T00:00:00Z,2004-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2489335,38 обезьян,2003-02-09T00:00:00Z,2005-02-08T00:00:00Z,,,,
http://www.wikidata.org/entity/Q29960569,4 квартала,2017-05-08T00:00:00Z,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q1713744,премия «Юпитер»,2019-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q29960569,4 квартала,2017-05-08T00:00:00Z,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q58415171,Deutscher Fernsehpreis 2019,,
http://www.wikidata.org/entity/Q29960569,4 квартала,2017-05-08T00:00:00Z,2019-12-12T00:00:00Z,http://www.wikidata.org/entity/Q873842,премия «Роми»,2018-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q234386,4400,2004-07-11T00:00:00Z,2007-09-16T00:00:00Z,,,,
http://www.wikidata.org/entity/Q107176559,4400,2021-10-25T00:00:00Z,2022-02-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q110583537,45 правил развода,2021-11-21T00:00:00Z,2022-01-20T00:00:00Z,,,,
http://www.wikidata.org/entity/Q488652,49 дней,2011-03-16T00:00:00Z,2011-05-19T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5935,4исла,2005-01-23T00:00:00Z,2010-03-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q624364,5-я республика,2005-04-23T00:00:00Z,2005-09-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q90988349,50 штатов страха,2020-04-06T00:00:00Z,2020-10-01T00:00:00Z,,,,
