tv_series,tv_seriesLabel,start_year,end_year,awardLabel,subjectLabel
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия «Спутник» за лучший телевизионный сериал — комедия или мюзикл,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,премия «Спутник» за лучшую женскую роль в телевизионном сериале — комедия или мюзикл,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,"Премия «Спутник» за лучшую женскую роль второго плана — мини-сериал, телесериал или телефильм",
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия Гильдии киноактёров США за лучшую женскую роль в комедийном сериале,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия Гильдии режиссёров Америки за лучшую режиссуру — Комедийный телесериал,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,прайм-тайм премия «Эмми» в категории «Лучший приглашённый актёр в комедийном телесериале»,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия Ассоциации телевизионных критиков за выдающиеся достижения в комедии,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Primetime Emmy Award for Outstanding Casting for a Comedy Series,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Primetime Emmy Award for Outstanding Cinematography for a Half-Hour Series,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Comedy Series,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,TCA Award for Outstanding New Program,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия Ассоциации телевизионных критиков за личные достижения в комедии,
http://www.wikidata.org/entity/Q23628,Клан Сопрано,1999,2007,NAACP Image Award лучшему актёру второго плана в драматическом сериале,неблагополучная семья
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия Гильдии сценаристов США за лучший сценарий в комедийном телесериале,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,Премия Гильдии сценаристов США за лучший сценарий в новом телесериале,
http://www.wikidata.org/entity/Q34659,Меня зовут Эрл,2005,2009,премия «Эмми» за лучшую женскую роль второго плана в комедийном телесериале,
http://www.wikidata.org/entity/Q23628,Клан Сопрано,1999,2007,премия «Спутник» за лучшую мужскую роль в драматическом телесериале,неблагополучная семья
http://www.wikidata.org/entity/Q23628,Клан Сопрано,1999,2007,Primetime Emmy Award for Outstanding Casting for a Drama Series,неблагополучная семья
