tv_series,tv_seriesLabel,start_year,end_year,subjectLabel
http://www.wikidata.org/entity/Q565293,Анна Франк,2001,2001,Вторая мировая война
http://www.wikidata.org/entity/Q232737,Ходячие мертвецы,2010,2022,навык выживания
http://www.wikidata.org/entity/Q193973,Государственная тайна (мини-сериал),2012,2012,политика
http://www.wikidata.org/entity/Q74801,Вице-президент,2012,2019,политика
http://www.wikidata.org/entity/Q256527,Спин-Сити,1996,2002,политика
http://www.wikidata.org/entity/Q513178,Штамм «Андромеда»,2008,2008,внеземной микроорганизм
http://www.wikidata.org/entity/Q483506,Dae Jo Yeong,2006,2007,война
http://www.wikidata.org/entity/Q207803,Кости,2005,2017,Федеральное бюро расследований
http://www.wikidata.org/entity/Q230506,Квантовый скачок,1989,1993,путешествие во времени
http://www.wikidata.org/entity/Q564345,В поле зрения,2011,2016,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q510554,Коджак,1973,1978,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q370185,Форс-мажоры,2011,2019,юрист
http://www.wikidata.org/entity/Q192259,C.S.I.: Место преступления Нью-Йорк,2004,2013,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q245929,Война и воспоминание,1988,1989,Холокост
http://www.wikidata.org/entity/Q498438,Американцы,2013,2018,Комитет государственной безопасности СССР
http://www.wikidata.org/entity/Q367189,A Casa das Sete Mulheres,2003,2003,Война Фаррапус
http://www.wikidata.org/entity/Q379004,The War at Home,2005,2007,"сериал, связанный с ЛГБТ"
http://www.wikidata.org/entity/Q245929,Война и воспоминание,1988,1989,Вторая мировая война
http://www.wikidata.org/entity/Q276071,90210: Новое поколение,2008,2013,подростковая беременность
http://www.wikidata.org/entity/Q230506,Квантовый скачок,1989,1993,обмен телами
http://www.wikidata.org/entity/Q468052,Америка,1987,1987,Холодная война
http://www.wikidata.org/entity/Q379004,The War at Home,2005,2007,неблагополучная семья
http://www.wikidata.org/entity/Q207375,Скорая помощь,1994,2009,скорая медицинская помощь
http://www.wikidata.org/entity/Q172426,"Пабло Эскобар, хозяин зла",2012,2012,Пабло Эскобар
http://www.wikidata.org/entity/Q79784,Друзья,1994,2004,дружба
http://www.wikidata.org/entity/Q486212,The King of Legend,2010,2011,Кынчхого
http://www.wikidata.org/entity/Q552314,Стрела,2012,2020,неблагополучная семья
http://www.wikidata.org/entity/Q212731,Башни Фолти,1975,1979,гостиница
http://www.wikidata.org/entity/Q71824,Picker Sisters,2011,2011,антиквариат
http://www.wikidata.org/entity/Q73268,Красавица и чудовище,2012,2016,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q303352,Спартак: Боги арены,2011,2011,гладиатор
http://www.wikidata.org/entity/Q276071,90210: Новое поколение,2008,2013,старшая школа
http://www.wikidata.org/entity/Q158159,Жизнь после людей,2008,2010,ухудшение
http://www.wikidata.org/entity/Q265152,Щит,2002,2008,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q212807,Шпионка,2001,2006,шпионаж
http://www.wikidata.org/entity/Q204228,Менталист,2008,2015,Калифорнийское бюро расследований
http://www.wikidata.org/entity/Q80217,"Пенсильвания-авеню, 1600",2012,2013,политика
http://www.wikidata.org/entity/Q386880,Касл,2009,2016,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q388389,Тайный дневник девушки по вызову,2007,2011,проституция
http://www.wikidata.org/entity/Q486500,Empress Cheonchu,2009,2009,королева Хонэ
http://www.wikidata.org/entity/Q483506,Dae Jo Yeong,2006,2007,Тэ Чжоён
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000,2015,Las Vegas Metropolitan Police Department
http://www.wikidata.org/entity/Q475202,Охотники за нечистью,2001,2002,Департамент полиции Чикаго
http://www.wikidata.org/entity/Q158159,Жизнь после людей,2008,2010,rewilding
http://www.wikidata.org/entity/Q488586,The Innocent Man,2012,2012,месть
http://www.wikidata.org/entity/Q178724,Ти Джей Хукер,1982,1986,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q83401,Герои,2006,2010,суперсила
http://www.wikidata.org/entity/Q388389,Тайный дневник девушки по вызову,2007,2011,девушка по вызову
http://www.wikidata.org/entity/Q487952,King Sejong the Great,2008,2008,Седжон
http://www.wikidata.org/entity/Q180228,Тайны Смолвиля,2001,2011,супергероика
http://www.wikidata.org/entity/Q180228,Тайны Смолвиля,2001,2011,телеэкранизация
http://www.wikidata.org/entity/Q158159,Жизнь после людей,2008,2010,экологическая проблема
http://www.wikidata.org/entity/Q174390,Большая игра,2003,2003,политика
http://www.wikidata.org/entity/Q283660,Досье детектива Рокфорда,1974,1980,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q212807,Шпионка,2001,2006,Центральное разведывательное управление
http://www.wikidata.org/entity/Q490096,Taejo Wang Geon,2000,2002,Тхэджо
http://www.wikidata.org/entity/Q242596,Малкольм в центре внимания,2000,2006,родительство
http://www.wikidata.org/entity/Q478360,Прослушка,2002,2008,преступление
http://www.wikidata.org/entity/Q478360,Прослушка,2002,2008,политика
http://www.wikidata.org/entity/Q247643,Элементарно,2012,2019,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q137741,Женщина-полицейский,1974,1978,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q232737,Ходячие мертвецы,2010,2022,зомби
http://www.wikidata.org/entity/Q189411,C.S.I.: Место преступления Майами,2002,2012,Miami-Dade Police Department
http://www.wikidata.org/entity/Q545333,Сад падающих звезд,2001,2001,учащийся старших классов
http://www.wikidata.org/entity/Q371207,Коломбо,1968,2003,Департамент полиции города Лос-Анджелес
http://www.wikidata.org/entity/Q338642,Garrison's Gorillas,1967,1968,Вторая мировая война
http://www.wikidata.org/entity/Q377812,Everest: Beyond the Limit,2006,2009,Джомолунгма
http://www.wikidata.org/entity/Q323380,Архив смерти,1979,1980,Вторая мировая война
http://www.wikidata.org/entity/Q323380,Архив смерти,1980,1980,Вторая мировая война
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000,2015,криминалистическая экспертиза
http://www.wikidata.org/entity/Q490096,Taejo Wang Geon,2000,2002,Поздние три корейские государства
http://www.wikidata.org/entity/Q72085,ECW on TNN,1999,2000,Extreme Championship Wrestling
http://www.wikidata.org/entity/Q276180,Служба новостей,2012,2014,политика
http://www.wikidata.org/entity/Q180228,Тайны Смолвиля,2001,2011,научно-фантастическая телепрограмма
http://www.wikidata.org/entity/Q281955,Baa Baa Black Sheep,1976,1978,Вторая мировая война
http://www.wikidata.org/entity/Q216919,Клиент всегда мёртв,2001,2005,неблагополучная семья
http://www.wikidata.org/entity/Q208647,Женаты… с детьми,1987,1997,неблагополучная семья
http://www.wikidata.org/entity/Q513178,Штамм «Андромеда»,2008,2008,внеземная жизнь
http://www.wikidata.org/entity/Q472018,Семнадцать мгновений весны,1973,1973,Вторая мировая война
http://www.wikidata.org/entity/Q239672,Компьютерщики,2006,2013,вычислительная техника
http://www.wikidata.org/entity/Q536110,Whale Wars,2008,2015,китобойный промысел
http://www.wikidata.org/entity/Q232737,Ходячие мертвецы,2010,2022,социальный коллапс
http://www.wikidata.org/entity/Q564345,В поле зрения,2011,2016,шпионаж
http://www.wikidata.org/entity/Q513178,Штамм «Андромеда»,2008,2008,вспышка эпидемии
http://www.wikidata.org/entity/Q83401,Герои,2006,2010,сверхъестественное
http://www.wikidata.org/entity/Q527916,Кегни и Лейси,1982,1988,Департамент полиции города Нью-Йорка
http://www.wikidata.org/entity/Q498438,Американцы,2013,2018,Холодная война
http://www.wikidata.org/entity/Q552314,Стрела,2012,2020,вигилант
http://www.wikidata.org/entity/Q536110,Whale Wars,2008,2015,Sea Shepherd
