tv_series,tv_seriesLabel,countryLabel
http://www.wikidata.org/entity/Q929589,Чисто английское убийство,Великобритания
http://www.wikidata.org/entity/Q2366574,Планета динозавров,Великобритания
http://www.wikidata.org/entity/Q3519442,Thalassa,Франция
http://www.wikidata.org/entity/Q2333777,Я стесняюсь своего тела,Великобритания
http://www.wikidata.org/entity/Q720838,Strangers 6,Китай
http://www.wikidata.org/entity/Q719920,Доктор Кто: Конфиденциально,Великобритания
http://www.wikidata.org/entity/Q3201398,Алфавит Жиля Делёза,Франция
http://www.wikidata.org/entity/Q1462368,Дживс и Вустер,Великобритания
http://www.wikidata.org/entity/Q1035150,Капитан Скарлет,Великобритания
http://www.wikidata.org/entity/Q1129149,Whoops Apocalypse,Великобритания
http://www.wikidata.org/entity/Q2377188,Война Фойла,Великобритания
http://www.wikidata.org/entity/Q3043225,Life in the Freezer,Великобритания
http://www.wikidata.org/entity/Q1248464,The New Statesman,Великобритания
http://www.wikidata.org/entity/Q565293,Анна Франк,Чехия
http://www.wikidata.org/entity/Q1249333,Эксперимент Куотермасса,Великобритания
http://www.wikidata.org/entity/Q2985293,Родословная семьи,Великобритания
http://www.wikidata.org/entity/Q367189,A Casa das Sete Mulheres,Бразилия
http://www.wikidata.org/entity/Q859964,Piece of Cake,Великобритания
http://www.wikidata.org/entity/Q1138132,Королева-девственница,Великобритания
http://www.wikidata.org/entity/Q840837,How to Start Your Own Country,Великобритания
http://www.wikidata.org/entity/Q1508425,The State Within,Великобритания
http://www.wikidata.org/entity/Q212731,Башни Фолти,Великобритания
http://www.wikidata.org/entity/Q743334,Прогулки с динозаврами,Великобритания
http://www.wikidata.org/entity/Q727196,Рабыня Изаура,Бразилия
http://www.wikidata.org/entity/Q3052933,Antiques Roadshow,Великобритания
http://www.wikidata.org/entity/Q835601,Schätze der Welt,Германия
http://www.wikidata.org/entity/Q1268407,Tanzalarm,Германия
http://www.wikidata.org/entity/Q1965005,BBC: Нацизм: Предостережение истории,Великобритания
http://www.wikidata.org/entity/Q1538095,Кошмары на кухне,Великобритания
http://www.wikidata.org/entity/Q3093037,G.B.H.,Великобритания
http://www.wikidata.org/entity/Q973843,Secret Army,Великобритания
http://www.wikidata.org/entity/Q3874591,Enemy at the Door,Великобритания
http://www.wikidata.org/entity/Q1548487,Grand Design,Великобритания
http://www.wikidata.org/entity/Q2336916,Bargain Hunt,Великобритания
http://www.wikidata.org/entity/Q2533567,Histoire(s) du cinéma,Франция
http://www.wikidata.org/entity/Q993043,Europe: A Natural History,Великобритания
